sale_id,sale_date,customer_id,customer_name,product_id,product_name,category,quantity,price,total_amount
1,2025-01-01,158,Jesse Townsend,202,Mouse,Electronics,4,25,100
2,2025-01-01,193,Monique Hamilton,202,Mouse,Electronics,4,25,100
3,2025-01-01,164,Kim Miller,203,Chair,Furniture,4,150,600
4,2025-01-01,115,Anthony Fitzpatrick,201,Laptop,Electronics,5,1000,5000
5,2025-01-01,133,Gabriela Parker,201,Laptop,Electronics,4,1000,4000
6,2025-01-01,142,Christina White,201,Laptop,Electronics,2,1000,2000
7,2025-01-01,198,Gregory Sims,202,Mouse,Electronics,3,25,75
8,2025-01-01,118,Christine Blanchard,202,Mouse,Electronics,2,25,50
9,2025-01-01,147,Stephanie Meyers,202,Mouse,Electronics,3,25,75
10,2025-01-01,151,Matthew Martinez,204,Desk,Furniture,2,300,600
11,2025-01-01,135,James Ayala,204,Desk,Furniture,5,300,1500
12,2025-01-01,183,Cheryl Randall,204,Desk,Furniture,2,300,600
13,2025-01-01,100,Cynthia West,201,Laptop,Electronics,2,1000,2000
14,2025-01-01,118,Stephanie Martinez,205,Phone,Electronics,4,800,3200
15,2025-01-01,124,Tracy Lynch,205,Phone,Electronics,2,800,1600
16,2025-01-01,185,Patricia Hunter,202,Mouse,Electronics,1,25,25
17,2025-01-01,181,Kevin Rice,202,Mouse,Electronics,4,25,100
18,2025-01-01,179,Scott Cox,204,Desk,Furniture,2,300,600
19,2025-01-01,177,Dr. Robert Zamora,205,Phone,Electronics,1,800,800
20,2025-01-01,199,Dawn Boone,202,Mouse,Electronics,5,25,125
21,2025-01-01,188,Michelle Wang,205,Phone,Electronics,3,800,2400
22,2025-01-01,167,Katherine Aguilar,205,Phone,Electronics,3,800,2400
23,2025-01-01,146,Michael Callahan,203,Chair,Furniture,5,150,750
24,2025-01-01,197,Paul Mccarthy,204,Desk,Furniture,4,300,1200
25,2025-01-01,138,Anthony Larson,201,Laptop,Electronics,1,1000,1000
26,2025-01-01,130,Eric Howell,204,Desk,Furniture,3,300,900
27,2025-01-01,163,Nicole Carroll,204,Desk,Furniture,5,300,1500
28,2025-01-01,118,Adam Wilson,205,Phone,Electronics,3,800,2400
29,2025-01-01,141,Joseph Cortez,201,Laptop,Electronics,5,1000,5000
30,2025-01-01,196,James Mayer,202,Mouse,Electronics,1,25,25
31,2025-01-01,191,Micheal Montgomery,203,Chair,Furniture,1,150,150
32,2025-01-01,128,Karen Gardner,201,Laptop,Electronics,5,1000,5000
33,2025-01-01,179,Candace Lindsey,203,Chair,Furniture,5,150,750
34,2025-01-01,145,Amber Gonzalez,202,Mouse,Electronics,5,25,125
35,2025-01-01,101,Brandon Taylor,203,Chair,Furniture,4,150,600
36,2025-01-01,124,Barbara Jones,201,Laptop,Electronics,4,1000,4000
37,2025-01-01,192,Jennifer Fernandez,205,Phone,Electronics,1,800,800
38,2025-01-01,105,Greg Gibson,205,Phone,Electronics,2,800,1600
39,2025-01-01,151,Kevin King,204,Desk,Furniture,1,300,300
40,2025-01-01,184,Daniel Gutierrez,202,Mouse,Electronics,5,25,125
41,2025-01-01,104,Linda Pollard,204,Desk,Furniture,5,300,1500
42,2025-01-01,106,David Page,204,Desk,Furniture,2,300,600
43,2025-01-01,125,Zachary Myers,204,Desk,Furniture,1,300,300
44,2025-01-01,112,Devon Torres,202,Mouse,Electronics,2,25,50
45,2025-01-01,127,Wendy Hansen,201,Laptop,Electronics,2,1000,2000
46,2025-01-01,132,Adam Miller,201,Laptop,Electronics,1,1000,1000
47,2025-01-01,104,Marvin Sims,201,Laptop,Electronics,4,1000,4000
